665,0,1,1,1,1,1,1,0,
666,1,1,1,0,0,1,1,1,
667,1,1,1,1,1,1,0,1,
668,1,0,0,0,1,1,1,1,
669,0,1,0,1,0,0,1,1,
670,1,1,0,0,1,0,1,1,
671,1,1,1,1,0,1,0,1,
672,1,0,1,1,0,1,1,0,
673,1,0,1,0,1,0,1,0,
674,1,0,1,0,1,1,1,1,
675,0,0,0,0,0,0,1,1,
676,1,1,1,0,1,1,1,0,
677,1,0,1,0,0,1,1,0,
678,1,1,1,1,1,1,0,1,
679,1,0,1,1,0,1,1,0,
680,1,0,1,0,0,0,0,1,
681,1,0,0,0,1,1,1,1,
682,0,1,1,1,0,0,1,1,
683,1,0,1,1,1,0,1,1,
684,0,0,0,1,1,1,0,0,
685,0,1,1,0,1,0,1,1,
686,1,1,0,1,1,0,1,0,
687,1,1,1,0,1,1,1,1,
688,1,1,1,0,1,0,0,1,
689,1,0,1,0,0,1,1,1,
690,0,1,1,0,0,1,1,1,
691,1,1,0,1,1,0,1,1,
692,0,0,1,1,1,1,0,1,
693,1,1,1,1,0,1,1,1,
694,0,1,1,1,1,1,0,1,
695,1,0,1,1,0,0,1,1,
696,0,1,1,0,1,1,1,1,
697,0,1,0,1,0,1,1,1,
698,1,1,0,1,1,1,1,1,
699,1,1,1,1,1,1,1,1,
700,0,0,0,1,0,1,0,1,
701,0,1,0,0,0,1,0,1,
702,1,1,0,0,0,1,1,1,
703,0,0,0,0,0,0,1,1,
704,0,1,1,1,1,1,1,0,
705,1,1,0,1,0,0,1,1,
706,1,0,0,1,1,0,0,0,
707,1,1,0,0,0,1,0,1,
708,0,0,1,0,0,1,1,0,
709,1,1,0,1,1,0,0,1,
710,0,0,1,1,1,0,0,1,
711,0,1,1,1,0,1,0,1,
712,1,1,1,0,1,0,1,0,
713,1,0,0,1,1,0,0,1,
714,1,1,1,1,1,0,0,0,
715,0,1,1,1,0,0,0,1,
716,1,1,1,1,0,1,0,1,
717,1,0,0,1,1,1,0,1,
718,1,1,1,0,1,0,1,1,
719,1,1,1,1,1,0,1,1,
720,0,1,0,0,0,1,0,0,
721,1,1,0,1,0,1,0,1,
722,0,1,1,0,1,1,1,1,
723,1,1,0,0,1,0,0,0,
724,0,1,0,1,1,1,0,0,
725,1,1,0,0,1,1,0,0,
726,1,0,0,1,1,1,0,1,
727,1,1,1,1,0,1,1,1,
728,1,1,1,1,1,0,1,0,
729,1,0,1,1,1,0,1,1,
730,1,1,1,0,0,1,1,1,
731,1,1,1,1,1,0,1,1,
732,0,1,1,0,1,0,1,1,
733,1,1,0,0,0,1,0,1,
