665,0,0,0,0,0,1,0,1,
666,1,0,0,1,1,0,1,1,
667,1,0,0,0,0,1,1,1,
668,0,1,0,1,0,0,1,1,
669,0,1,0,1,1,1,1,1,
670,1,0,1,0,1,1,1,0,
671,1,1,0,1,1,1,1,1,
672,0,0,0,1,0,0,1,1,
673,1,0,0,1,0,1,0,0,
674,1,0,1,1,1,1,0,0,
675,1,1,1,0,0,0,1,1,
676,1,1,1,1,0,1,1,1,
677,0,1,1,1,1,1,1,1,
678,1,1,0,0,0,0,1,0,
679,1,0,1,0,0,1,1,1,
680,1,0,1,0,1,1,1,1,
681,0,0,1,0,1,1,0,0,
682,0,1,1,1,1,0,0,0,
683,1,0,0,1,0,1,0,0,
684,1,1,1,1,0,1,1,1,
685,1,1,1,0,1,0,0,1,
686,0,1,1,1,0,0,0,1,
687,1,0,1,1,0,1,1,1,
688,1,1,0,0,1,1,1,1,
689,1,1,1,1,1,0,1,1,
690,0,1,1,1,0,1,1,1,
691,0,0,0,0,0,1,0,1,
692,1,0,0,1,1,0,1,1,
693,1,0,0,0,0,1,1,1,
694,0,1,0,1,0,0,1,1,
695,0,1,0,1,1,1,1,1,
696,1,0,1,0,1,1,1,0,
697,1,1,0,1,1,1,1,1,
698,0,0,0,1,0,0,1,1,
699,1,0,0,1,0,1,0,0,
700,1,0,1,1,1,1,0,0,
701,1,1,1,0,0,0,1,1,
702,1,1,1,1,0,1,1,1,
703,0,1,1,1,1,1,1,1,
704,1,1,0,0,0,0,1,0,
705,1,0,1,0,0,1,1,1,
706,1,0,1,0,1,1,1,1,
707,0,0,1,0,1,1,0,0,
708,0,1,1,1,1,0,0,0,
709,1,0,0,1,0,1,0,0,
710,1,1,1,1,0,1,1,1,
711,1,1,1,0,1,0,0,1,
712,0,1,1,1,0,0,0,1,
713,1,0,1,1,0,1,1,1,
714,1,1,0,0,1,1,1,1,
715,1,1,1,1,1,0,1,1,
716,0,1,1,1,0,1,1,1,
717,0,0,0,0,0,1,0,1,
718,1,0,0,1,1,0,1,1,
719,1,0,0,0,0,1,1,1,
720,0,1,0,1,0,0,1,1,
721,0,1,0,1,1,1,1,1,
722,1,0,1,0,1,1,1,0,
723,1,1,0,1,1,1,1,1,
724,0,0,0,1,0,0,1,1,
725,1,0,0,1,0,1,0,0,
726,1,0,1,1,1,1,0,0,
727,1,1,1,0,0,0,1,1,
728,1,1,1,1,0,1,1,1,
729,0,1,1,1,1,1,1,1,
730,1,1,0,0,0,0,1,0,
731,1,0,1,0,0,1,1,1,
732,1,0,1,0,1,1,1,1,
733,0,0,1,0,1,1,0,0,
734,0,1,1,1,1,0,0,0,
735,1,0,0,1,0,1,0,0,
736,1,1,1,1,0,1,1,1,
737,1,1,1,0,1,0,0,1,
738,0,1,1,1,0,0,0,1,
739,1,0,1,1,0,1,1,1,
